#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
4101 4097 24560 26 26 0.0024949726475724113 0 0 0 0 47.48401269221382 47.48401269221382 0.22259697662763833 0.22259697662763833
4201 4197 25160 26 26 0.002352043448303673 0 0 0 0 47.52442220633786 47.52442220633786 0.22102946485670152 0.22102946485670152
4301 4297 25760 26 26 0.002244710730211338 0 0 0 0 47.55829648592041 47.55829648592041 0.21889284080594412 0.21889284080594412
4401 4397 26360 26 26 0.002139421640649898 0 0 0 0 47.596543097566524 47.596543097566524 0.2179876644870333 0.2179876644870333
4501 4497 26960 26 26 0.002066902971575272 0 0 0 0 47.628196575494776 47.628196575494776 0.21538052226947 0.21538052226947
4601 4597 27560 26 26 0.0019891825295185036 0 0 0 0 47.893408744833586 47.893408744833586 0.20392829624372158 0.20392829624372158
4701 4697 28160 28 28 0.0020928495677216873 0 0 0 0 48.17628273365978 48.17628273365978 0.19248880214516595 0.19248880214516595
4801 4797 28760 28 28 0.002105065376915549 0 0 0 0 48.405253283302066 48.405253283302066 0.18177703821637584 0.18177703821637584
4901 4897 29360 28 28 0.002175877388631504 0 0 0 0 48.66530528895242 48.66530528895242 0.1725305836812337 0.1725305836812337
5001 4997 29960 28 28 0.0021659451654597733 0 0 0 0 48.9541725035021 48.9541725035021 0.16132000472362334 0.16132000472362334
5101 5097 30560 29 29 0.0020901652359490005 0 0 0 0 49.163429468314696 49.163429468314696 0.1542301332010134 0.1542301332010134
5201 5197 31160 29 29 0.0020251158443463494 0 0 0 0 49.40003848374062 49.40003848374062 0.1461472689731249 0.1461472689731249
5301 5297 31760 29 29 0.002042566717914035 0 0 0 0 49.64659241079857 49.64659241079857 0.1382110616123987 0.1382110616123987
5401 5397 32360 29 29 0.001984030750004001 0 0 0 0 49.83472299425607 49.83472299425607 0.13227799291453826 0.13227799291453826
5501 5497 32960 29 29 0.0019015008122833352 0 0 0 0 50.039294160451156 50.039294160451156 0.1268395133990587 0.1268395133990587
5601 5597 33560 30 30 0.0019073150262057454 0 0 0 0 50.25263534036091 50.25263534036091 0.12111102094743141 0.12111102094743141
5701 5697 34160 31 31 0.001856807790872972 0 0 0 0 50.53466736879059 50.53466736879059 0.11333461215324281 0.11333461215324281
5801 5797 34760 32 32 0.0018755315280201362 0 0 0 0 50.76004830084526 50.76004830084526 0.10703876966552167 0.10703876966552167
5901 5897 35360 32 32 0.0018709143641319804 0 0 0 0 50.91775479057148 50.91775479057148 0.10251822384151597 0.10251822384151597
6001 5997 35960 34 34 0.001856149785946593 0 0 0 0 51.11855927963982 51.11855927963982 0.09684933691057487 0.09684933691057487
6101 6097 36560 34 34 0.001933452501978532 0 0 0 0 51.3203214695752 51.3203214695752 0.09130194189472393 0.09130194189472393
6201 6197 37160 35 35 0.00198005039374537 0 0 0 0 51.51492657737615 51.51492657737615 0.08631598113634809 0.08631598113634809
6301 6297 37760 35 35 0.0019380702269965432 0 0 0 0 51.70779736382404 51.70779736382404 0.08105825224766999 0.08105825224766999
6401 6397 38360 35 35 0.0019015518675510503 0 0 0 0 51.90683132718462 51.90683132718462 0.07578237699426853 0.07578237699426853
6501 6497 38960 35 35 0.0018121379807512518 0 0 0 0 52.08188394643682 52.08188394643682 0.07156202456041309 0.07156202456041309
6601 6597 39560 35 35 0.0018996296029935229 0 0 0 0 52.21919054115507 52.21919054115507 0.06859471377734841 0.06859471377734841
6701 6697 40160 35 35 0.0019762450578020368 0 0 0 0 52.41331939674481 52.41331939674481 0.06427920424829267 0.06427920424829267
6801 6797 40760 35 35 0.0020007054783384207 0 0 0 0 52.57260556127704 52.57260556127704 0.0604487423595492 0.0604487423595492
6901 6897 41360 35 35 0.002023764117834729 0 0 0 0 52.728432651877625 52.728432651877625 0.056973887784704635 0.056973887784704635
7001 6997 41960 35 35 0.0020305177950248506 0 0 0 0 52.87323138487923 52.87323138487923 0.054090470716127055 0.054090470716127055
7101 7097 42560 35 35 0.0020139739162941353 0 0 0 0 53.046921234324365 53.046921234324365 0.04955130251587557 0.04955130251587557
7201 7197 43160 36 36 0.002010213844304564 0 0 0 0 53.270529387244686 53.270529387244686 0.044674005147825914 0.044674005147825914
