#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
4001 3997 23960 181 181 0.01038771354386228 0 0 0 0 99.42006504878658 99.42006504878658 -0.04826597035103235 -0.04826597035103235
4101 4097 24560 184 184 0.010059126901059564 0 0 0 0 99.79350744447156 99.79350744447156 -0.04802632156452004 -0.04802632156452004
4201 4197 25160 185 185 0.009676712679253541 0 0 0 0 99.53681200857756 99.53681200857756 -0.0466552445923014 -0.0466552445923014
4301 4297 25760 187 187 0.009502969401780543 0 0 0 0 99.84780079124971 99.84780079124971 -0.04624745036611015 -0.04624745036611015
4401 4397 26360 189 189 0.009535859269081999 0 0 0 0 99.79758926540823 99.79758926540823 -0.045188223909105346 -0.045188223909105346
4501 4497 26960 189 189 0.009328042353612877 0 0 0 0 99.94574160551478 99.94574160551478 -0.04461944647574844 -0.04461944647574844
4601 4597 27560 189 189 0.008822730908552935 0 0 0 0 98.84228844898847 98.84228844898847 -0.04107439424631448 -0.04107439424631448
4701 4697 28160 190 190 0.008540474076285632 0 0 0 0 97.82371726634021 97.82371726634021 -0.03759070001515009 -0.03759070001515009
4801 4797 28760 190 190 0.008252640679155787 0 0 0 0 96.71836564519491 96.71836564519491 -0.03408491506862312 -0.03408491506862312
4901 4897 29360 190 190 0.008010656116911857 0 0 0 0 95.72717990606493 95.72717990606493 -0.030894579519608698 -0.030894579519608698
5001 4997 29960 190 190 0.007780570625163274 0 0 0 0 94.86051630978587 94.86051630978587 -0.02790031560353144 -0.02790031560353144
5101 5097 30560 190 190 0.007568333186283357 0 0 0 0 93.94192662350402 93.94192662350402 -0.024914155014917776 -0.024914155014917776
5201 5197 31160 190 190 0.007247124505364145 0 0 0 0 93.08793534731576 93.08793534731576 -0.02225147415757174 -0.02225147415757174
5301 5297 31760 190 190 0.006862895875968612 0 0 0 0 92.19293939966019 92.19293939966019 -0.019258621376791647 -0.019258621376791647
5401 5397 32360 190 190 0.006821975161961205 0 0 0 0 91.44413563090606 91.44413563090606 -0.01667228997558205 -0.01667228997558205
5501 5497 32960 190 190 0.0066106868226100445 0 0 0 0 90.6465344733491 90.6465344733491 -0.014011772484388047 -0.014011772484388047
5601 5597 33560 190 190 0.006371237465875113 0 0 0 0 89.87100232267287 89.87100232267287 -0.011544328754715042 -0.011544328754715042
5701 5697 34160 190 190 0.006180713163730296 0 0 0 0 89.1139196068106 89.1139196068106 -0.009097229876521819 -0.009097229876521819
5801 5797 34760 191 191 0.00591878939592523 0 0 0 0 88.43332758323271 88.43332758323271 -0.006777914772620578 -0.006777914772620578
5901 5897 35360 191 191 0.005792024773970973 0 0 0 0 87.6710191622859 87.6710191622859 -0.0043302539888148885 -0.0043302539888148885
6001 5997 35960 191 191 0.005591441397348149 0 0 0 0 86.94313823578456 86.94313823578456 -0.0017724366665196338 -0.0017724366665196338
6101 6097 36560 191 191 0.005358501299541145 0 0 0 0 86.28046580285387 86.28046580285387 4.8347911685340893E-4 4.8347911685340893E-4
6201 6197 37160 191 191 0.005234123589040033 0 0 0 0 85.65531708891399 85.65531708891399 0.002485885007921427 0.002485885007921427
6301 6297 37760 191 191 0.005098850393775589 0 0 0 0 85.0360489121804 85.0360489121804 0.004612769335680684 0.004612769335680684
6401 6397 38360 191 191 0.005099345576839382 0 0 0 0 84.4348913553228 84.4348913553228 0.006680666838300334 0.006680666838300334
6501 6497 38960 191 191 0.0050350751120496855 0 0 0 0 83.8470063106049 83.8470063106049 0.008630697799526335 0.008630697799526335
6601 6597 39560 192 192 0.004796739991207728 0 0 0 0 83.35728361376383 83.35728361376383 0.010370487338804526 0.010370487338804526
6701 6697 40160 193 193 0.004668078696982872 0 0 0 0 82.88009556517844 82.88009556517844 0.011976635009572623 0.011976635009572623
6801 6797 40760 193 193 0.004594850132766563 0 0 0 0 82.35721641900838 82.35721641900838 0.013647750463662052 0.013647750463662052
6901 6897 41360 193 193 0.00446091370609659 0 0 0 0 81.85442946208497 81.85442946208497 0.015378220416406116 0.015378220416406116
7001 6997 41960 193 193 0.0043799794294842155 0 0 0 0 81.40403029869944 81.40403029869944 0.0169820857374842 0.0169820857374842
7101 7097 42560 193 193 0.004282250510136144 0 0 0 0 80.95927856840919 80.95927856840919 0.018621531721721585 0.018621531721721585
7201 7197 43160 193 193 0.004150075319232729 0 0 0 0 80.49576212310684 80.49576212310684 0.020331861898013198 0.020331861898013198
7301 7297 43760 193 193 0.004054749729173108 0 0 0 0 80.083870083596 80.083870083596 0.021753048313272644 0.021753048313272644
7401 7397 44360 193 193 0.003960442731617677 0 0 0 0 79.66689198323645 79.66689198323645 0.023196289273161322 0.023196289273161322
7501 7497 44960 193 193 0.0038440753789194416 0 0 0 0 79.22795784980659 79.22795784980659 0.024734614856941336 0.024734614856941336
7601 7597 45560 193 193 0.00375850013574629 0 0 0 0 78.84138475714097 78.84138475714097 0.026019190987537803 0.026019190987537803
7701 7697 46160 193 193 0.0037334602497676663 0 0 0 0 78.39469923346759 78.39469923346759 0.02754073112009227 0.02754073112009227
7801 7797 46760 193 193 0.0036678546794777635 0 0 0 0 77.98589200974735 77.98589200974735 0.02888766952813467 0.02888766952813467
7901 7897 47360 193 193 0.003574858830054135 0 0 0 0 77.59959478282892 77.59959478282892 0.03032643420442234 0.03032643420442234
8001 7997 47960 193 193 0.0034771718107259202 0 0 0 0 77.26947605352007 77.26947605352007 0.03152846059402687 0.03152846059402687
8101 8097 48560 193 193 0.0033722338233324388 0 0 0 0 76.92058787205137 76.92058787205137 0.032691868227261264 0.032691868227261264
8201 8197 49160 193 193 0.003300226335713593 0 0 0 0 76.52677808954496 76.52677808954496 0.033967127173948675 0.033967127173948675
8301 8297 49760 193 193 0.003202715090711163 0 0 0 0 76.1762082680487 76.1762082680487 0.03533416664541989 0.03533416664541989
8401 8397 50360 193 193 0.0031232236470276134 0 0 0 0 75.84756460640705 75.84756460640705 0.03667337457219751 0.03667337457219751
8501 8497 50960 193 193 0.0030495647152530905 0 0 0 0 75.5113569495116 75.5113569495116 0.03789635883546957 0.03789635883546957
8601 8597 51560 193 193 0.0029954190272512915 0 0 0 0 75.1845992788182 75.1845992788182 0.03908722934483583 0.03908722934483583
8701 8697 52160 193 193 0.0029128752241546056 0 0 0 0 74.88881223410371 74.88881223410371 0.04023700337349774 0.04023700337349774
8801 8797 52760 193 193 0.002818744367635671 0 0 0 0 74.55814482209844 74.55814482209844 0.04142738442669294 0.04142738442669294
8901 8897 53360 193 193 0.00275680929884522 0 0 0 0 74.26121164437451 74.26121164437451 0.04253872941066493 0.04253872941066493
9001 8997 53960 193 193 0.002702140525397666 0 0 0 0 73.9515394020229 73.9515394020229 0.04371838958576531 0.04371838958576531
9101 9000 53984 193 193 0.0027012398118891998 0 0 0 0 73.94711111111111 73.94711111111111 0.043756103200891405 0.043756103200891405
9101 9000 53984 193 193 0.0027012398118891998 0 0 0 0 73.94711111111111 73.94711111111111 0.043756103200891405 0.043756103200891405
