#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
1 3 2 1 1 0.0 2 2 0 0 0.6666666666666666 0.6666666666666666 0.0 0.0
101 97 560 17 17 0.06845711562206405 0 0 0 0 42.824742268041234 42.824742268041234 0.07884669144924947 0.07884669144924947
201 197 1160 21 21 0.042600723983226216 0 0 0 0 45.08629441624365 45.08629441624365 0.128565516342962 0.128565516342962
301 297 1760 22 22 0.02812798534958211 0 0 0 0 46.101010101010104 46.101010101010104 0.15088153793425121 0.15088153793425121
401 397 2360 23 23 0.021129407375823056 0 0 0 0 46.15617128463476 46.15617128463476 0.18579110320321265 0.18579110320321265
501 497 2960 24 24 0.016139789791675522 0 0 0 0 46.62374245472837 46.62374245472837 0.17926670165798572 0.17926670165798572
601 597 3560 25 25 0.011754840828148533 0 0 0 0 46.79731993299833 46.79731993299833 0.19173606335227944 0.19173606335227944
701 697 4160 25 25 0.009738474533793694 0 0 0 0 47.124820659971306 47.124820659971306 0.18176604390612655 0.18176604390612655
801 797 4760 25 25 0.008196976185359896 0 0 0 0 47.202007528230865 47.202007528230865 0.18579683088572096 0.18579683088572096
901 897 5360 25 25 0.007988831423819764 0 0 0 0 47.29542920847269 47.29542920847269 0.19370093167046104 0.19370093167046104
1001 997 5960 26 26 0.007272868042941751 0 0 0 0 47.29789368104313 47.29789368104313 0.20169810114286435 0.20169810114286435
1101 1097 6560 26 26 0.006763743460991533 0 0 0 0 47.47493163172288 47.47493163172288 0.19720521358372567 0.19720521358372567
1201 1197 7160 27 27 0.0063701326676427125 0 0 0 0 47.65580618212197 47.65580618212197 0.19708667294811433 0.19708667294811433
1301 1297 7760 27 27 0.005804480842758908 0 0 0 0 47.774865073245955 47.774865073245955 0.19552496042975523 0.19552496042975523
1401 1397 8360 27 27 0.005359840237897969 0 0 0 0 47.57337151037938 47.57337151037938 0.20805072367489577 0.20805072367489577
1501 1497 8960 27 27 0.004747369854645019 0 0 0 0 47.48563794255177 47.48563794255177 0.2114090183839438 0.2114090183839438
1601 1597 9560 27 27 0.004691816475581934 0 0 0 0 47.53036944270507 47.53036944270507 0.20748565070568295 0.20748565070568295
1701 1697 10160 27 27 0.004838771032509784 0 0 0 0 47.596935769004126 47.596935769004126 0.2054916380602667 0.2054916380602667
