#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
2701 2697 16160 174 174 0.012990691705679715 0 0 0 0 93.5446792732666 93.5446792732666 -0.05121961307541419 -0.05121961307541419
2801 2797 16760 176 176 0.012879394536748315 0 0 0 0 93.58598498391133 93.58598498391133 -0.04928125309830808 -0.04928125309830808
2901 2897 17360 179 179 0.012336574143048225 0 0 0 0 93.83776320331377 93.83776320331377 -0.047920250270845066 -0.047920250270845066
3001 2997 17960 181 181 0.011872675508898369 0 0 0 0 94.11411411411412 94.11411411411412 -0.047421657831355574 -0.047421657831355574
3101 3097 18560 182 182 0.011458498193352549 0 0 0 0 93.65902486277042 93.65902486277042 -0.044709535333813874 -0.044709535333813874
3201 3197 19160 183 183 0.011173438794233369 0 0 0 0 93.33124804504223 93.33124804504223 -0.042401365117783266 -0.042401365117783266
3301 3297 19760 183 183 0.010794667889776897 0 0 0 0 92.66787989080983 92.66787989080983 -0.039546241917983393 -0.039546241917983393
3401 3397 20360 184 184 0.01018488785312254 0 0 0 0 91.9511333529585 91.9511333529585 -0.03616012952443618 -0.03616012952443618
3501 3497 20960 186 186 0.009650921565177214 0 0 0 0 91.62253360022876 91.62253360022876 -0.03384632474511782 -0.03384632474511782
3601 3597 21560 188 188 0.009349614659336626 0 0 0 0 91.11592994161802 91.11592994161802 -0.031212917345064522 -0.031212917345064522
3701 3697 22160 190 190 0.009613407715912861 0 0 0 0 90.85637002975385 90.85637002975385 -0.029869759704637632 -0.029869759704637632
3801 3797 22760 192 192 0.00910144367175521 0 0 0 0 90.73689755069792 90.73689755069792 -0.028594721081418827 -0.028594721081418827
3901 3897 23360 193 193 0.008756008896817342 0 0 0 0 90.57839363613036 90.57839363613036 -0.027426898639954168 -0.027426898639954168
4001 3997 23960 193 193 0.008529424265323889 0 0 0 0 89.90442832124093 89.90442832124093 -0.024875203697762468 -0.024875203697762468
4101 4097 24560 195 195 0.008192561191012906 0 0 0 0 89.5172077129607 89.5172077129607 -0.022758041840813627 -0.022758041840813627
4201 4197 25160 195 195 0.007896606614312702 0 0 0 0 89.02787705503931 89.02787705503931 -0.020974179906694864 -0.020974179906694864
4301 4297 25760 196 196 0.007657538415157938 0 0 0 0 88.57156155457295 88.57156155457295 -0.0192600718980406 -0.0192600718980406
4401 4397 26360 199 199 0.007568349301042462 0 0 0 0 88.3165794860132 88.3165794860132 -0.017985985155937106 -0.017985985155937106
4501 4497 26960 202 202 0.007324373154493786 0 0 0 0 88.24016010673783 88.24016010673783 -0.01690180785046415 -0.01690180785046415
4601 4597 27560 202 202 0.0069375487867864944 0 0 0 0 87.85207744180988 87.85207744180988 -0.015330799888570036 -0.015330799888570036
4701 4697 28160 203 203 0.006570387257427362 0 0 0 0 87.671279540132 87.671279540132 -0.014215547784609654 -0.014215547784609654
